,x,y
0,34.696392,44.596626
1,36.330658,45.821198
2,37.96492,47.04576
3,39.59918,48.270325
4,41.233444,49.494896
5,42.867706,50.71946
6,44.501965,51.944023
7,46.13623,53.168594
8,47.77049,54.393158
9,49.404755,55.61773
10,51.039017,56.842293
11,52.673275,58.066856
12,54.30754,59.291428
13,55.646053,61.861816
14,56.984562,64.4322
15,58.32307,67.00258
16,59.66158,69.57297
17,61.000088,72.14334
18,62.338596,74.71372
19,63.67711,77.28411
20,65.01562,79.85449
21,66.354126,82.42487
22,67.69264,84.99526
23,69.03115,87.56565
24,70.36966,90.136024
25,71.70817,92.706406
26,73.04668,95.276794
27,74.385185,97.84717
28,73.91829,95.9299
29,73.45138,94.01261
30,72.984474,92.09533
31,72.51758,90.178055
32,72.050674,88.26077
33,71.58377,86.34349
34,71.11687,84.42621
35,70.64996,82.50893
36,70.18306,80.591644
37,69.716156,78.67436
38,69.24925,76.75709
39,68.78235,74.839806
40,68.315445,72.92252
41,67.84854,71.00525
42,67.38164,69.08796
43,69.01589,70.31252
44,70.65016,71.537094
45,72.284424,72.76166
46,73.918686,73.98623
47,75.55295,75.210785
48,77.18721,76.435356
49,78.82147,77.65993
50,80.455734,78.88449
51,82.09,80.109055
52,83.72426,81.333626
53,85.35852,82.55819
54,86.99278,83.78276
55,85.180664,81.30533
56,83.368546,78.8279
57,81.55643,76.35048
58,79.7443,73.87305
59,77.93218,71.39563
60,76.120056,68.91819
61,74.307945,66.440765
62,72.49582,63.96334
63,70.68369,61.48591
64,68.871574,59.00848
65,67.059456,56.53105
66,65.24733,54.053627
67,63.435215,51.576202
68,61.623093,49.09877
69,61.18537,47.301323
70,60.747654,45.503876
71,60.309933,43.70642
72,59.872208,41.908966
73,59.434486,40.11152
74,58.99676,38.314064
75,58.559036,36.516613
76,58.121323,34.719166
77,57.6836,32.921715
78,57.24588,31.124268
79,56.80815,29.326813
80,56.37043,27.52936
81,55.93271,25.731909
82,55.49499,23.934464
83,55.057266,22.137012
84,54.619545,20.339561
85,54.097008,21.067604
86,53.574463,21.795649
87,53.051926,22.5237
88,52.52939,23.251747
89,52.006847,23.979794
90,51.484306,24.707838
91,50.96176,25.435883
92,50.439224,26.163929
93,49.916683,26.891975
94,49.394146,27.620024
95,48.87161,28.348072
96,48.349068,29.076115
97,47.826527,29.804167
98,47.30399,30.532213
99,45.491867,28.054789
100,43.67975,25.577354
101,41.86763,23.09993
102,40.055508,20.622503
103,38.24339,18.145077
104,36.431263,15.6676445
105,34.619144,13.19022
106,32.807022,10.712788
107,30.994904,8.235367
108,29.182781,5.7579384
109,27.370663,3.28051
110,25.558544,0.8030777
111,23.746422,-1.6743469
112,21.9343,-4.1517715
113,23.189156,-1.7420349
114,24.444006,0.6676941
115,25.698862,3.0774307
116,26.953712,5.4871674
117,28.208567,7.8969
118,29.46342,10.306637
119,30.718273,12.716366
120,31.973124,15.126099
121,33.22798,17.535835
122,34.482834,19.94557
123,35.737686,22.355305
124,36.99254,24.765036
125,38.24739,27.17477
126,39.502243,29.584507
127,40.7571,31.994244
128,42.011948,34.403973
129,41.48941,35.132027
130,40.966873,35.86007
131,40.444332,36.58812
132,39.921787,37.316162
133,39.39925,38.04421
134,38.87671,38.772255
135,38.35417,39.5003
136,37.831627,40.228344
137,37.309093,40.956398
138,36.786552,41.684444
139,36.264015,42.41249
140,35.741474,43.140537
141,35.218933,43.868584
