shape,xsd,pc,value,method
v_lines_142,16.765,-0.065,15.15,transformation
wide_lines_142,16.765,-0.065,32.143,transformation
high_lines_142,16.765,-0.065,12.059,transformation
slant_up_142,16.765,-0.065,16.981,transformation
slant_down_142,16.765,-0.065,15.911,transformation
circle_142,16.765,-0.065,18.759,transformation
star_142,16.765,-0.065,13.974,transformation
down_parab_142,16.765,-0.065,15.298,transformation
bullseye_142,16.765,-0.065,11.725,transformation
dots_142,16.765,-0.065,15.384,transformation
datasaurus_142,16.765,-0.065,0.012,transformation
x_142,16.765,-0.065,9.451,sgd
h_lines_142,16.765,-0.065,16.95,sgd
v_lines_142,16.765,-0.065,14.841,sgd
wide_lines_142,16.765,-0.065,36.872,sgd
high_lines_142,16.765,-0.065,13.611,sgd
slant_up_142,16.765,-0.065,15.795,sgd
slant_down_142,16.765,-0.065,15.03,sgd
circle_142,16.765,-0.065,18.685,sgd
star_142,16.765,-0.065,11.475,sgd
down_parab_142,16.765,-0.065,15.097,sgd
bullseye_142,16.765,-0.065,11.193,sgd
dots_142,16.765,-0.065,19.809,sgd
datasaurus_142,16.765,-0.065,7.694,sgd
bike_855,16.765,-0.065,125.314,sgd
butterfly_855,16.765,-0.065,106.007,sgd
custom_dinosaur_855,16.765,-0.065,118.97,sgd
maple_leaves_855,16.765,-0.065,108.672,sgd
netherlands_855,16.765,-0.065,116.889,sgd
palm_tree_855,16.765,-0.065,124.772,sgd
rooster_855,16.765,-0.065,156.903,sgd
uu_855,16.765,-0.065,146.417,sgd
datasaurus_142,16.765,-0.065,10.727,DD
x_142,16.765,-0.065,15.227,DD
h_lines_142,16.765,-0.065,17.689,DD
v_lines_142,16.765,-0.065,17.92,DD
wide_lines_142,16.765,-0.065,34.831,DD
high_lines_142,16.765,-0.065,16.61,DD
slant_up_142,16.765,-0.065,17.22,DD
slant_down_142,16.765,-0.065,16.688,DD
star_142,16.765,-0.065,13.524,DD
down_parab_142,16.765,-0.065,16.59,DD
circle_142,16.765,-0.065,18.625,DD
bullseye_142,16.765,-0.065,14.819,DD
dots_142,16.765,-0.065,29.353,DD
star_142,16.765,0.055,13.959,transformation
star_142,16.765,0.155,13.338,transformation
star_142,16.765,0.255,12.997,transformation
star_142,16.765,0.355,13.08,transformation
star_142,16.765,0.455,13.747,transformation
star_142,16.765,0.555,15.134,transformation
star_142,16.765,0.655,17.064,transformation
star_142,16.765,0.755,19.444,transformation
star_142,16.765,0.855,22.445,transformation
star_142,16.765,0.955,26.867,transformation
star_142,5.505,-0.065,20.612,transformation
star_142,10.505,-0.065,15.917,transformation
star_142,15.505,-0.065,14.038,transformation
star_142,20.505,-0.065,13.834,transformation
star_142,25.505,-0.065,14.85,transformation
star_142,30.505,-0.065,16.687,transformation
star_142,35.505,-0.065,18.985,transformation
star_142,40.505,-0.065,20.978,transformation
star_142,45.505,-0.065,22.641,transformation
star_142,50.505,-0.065,24.045,transformation
star_142,55.505,-0.065,25.227,transformation
star_142,60.505,-0.065,26.242,transformation
star_142,5.505,-0.065,22.859,sgd
star_142,10.505,-0.065,16.747,sgd
star_142,15.505,-0.065,11.438,sgd
star_142,20.505,-0.065,12.533,sgd
star_142,25.505,-0.065,15.56,sgd
star_142,30.505,-0.065,17.916,sgd
star_142,35.505,-0.065,19.683,sgd
star_142,40.505,-0.065,21.107,sgd
star_142,45.505,-0.065,22.796,sgd
star_142,50.505,-0.065,24.302,sgd
star_142,55.505,-0.065,25.742,sgd
star_142,60.505,-0.065,26.879,sgd
star_142,16.765,0.055,11.469,sgd
star_142,16.765,0.155,11.949,sgd
star_142,16.765,0.255,12.136,sgd
star_142,16.765,0.355,12.82,sgd
star_142,16.765,0.455,13.685,sgd
star_142,16.765,0.555,14.341,sgd
star_142,16.765,0.655,15.215,sgd
star_142,16.765,0.755,16.359,sgd
star_142,16.765,0.855,17.884,sgd
star_142,16.765,0.955,20.555,sgd
datadance_250_1,16.765,-0.065,11.493,transformation
datadance_250_2,16.765,-0.065,16.226,transformation
datadance_250_3,16.765,-0.065,8.676,transformation
datadance_250_4,16.765,-0.065,11.553,transformation
datadance_250_5,16.765,-0.065,18.663,transformation
datadance_250_6,16.765,-0.065,14.298,transformation
datadance_250_7,16.765,-0.065,14.42,transformation
datadance_250_8,16.765,-0.065,9.855,transformation
datadance_250_9,16.765,-0.065,13.694,transformation
datadance_250_10,16.765,-0.065,17.904,transformation
datadance_250_11,16.765,-0.065,22.469,transformation
datadance_250_12,16.765,-0.065,31.602,transformation
datadance_250_13,16.765,-0.065,17.572,transformation
datadance_250_14,16.765,-0.065,19.826,transformation
datadance_250_15,16.765,-0.065,19.373,transformation
datadance_250_16,16.765,-0.065,20.724,transformation
datadance_250_17,16.765,-0.065,15.379,transformation
datadance_250_18,16.765,-0.065,11.484,transformation
datadance_250_19,16.765,-0.065,27.948,transformation
datadance_250_20,16.765,-0.065,26.205,transformation
