,x,y
0,64.95617,91.603195
1,65.98707,91.194695
2,64.3086,91.65021
3,65.85495,91.037445
4,64.00466,91.56105
5,66.238266,90.675964
6,65.590706,90.72296
7,65.28676,90.633804
8,64.98283,90.54464
9,64.16344,90.65974
10,53.894173,94.51944
11,59.048653,92.47692
12,63.00042,90.910995
13,64.37495,90.366325
14,73.99664,86.55362
15,54.449314,94.08985
16,56.85474,93.13667
17,58.5729,92.45584
18,59.603798,92.04733
19,63.555557,90.48141
20,74.03634,86.328285
21,75.58267,85.71553
22,56.722614,92.97945
23,57.75351,92.57094
24,59.471664,91.8901
25,73.045135,86.511475
26,75.450554,85.5583
27,52.123276,94.59237
28,55.73141,93.16261
29,59.51136,91.664764
30,72.741196,86.4223
31,52.162968,94.36705
32,53.5375,93.82238
33,57.66108,92.18837
34,71.9218,86.5374
35,76.73265,84.63106
36,52.88993,93.869385
37,56.841694,92.30345
38,58.044407,91.82686
39,75.74145,84.814224
40,50.5242,94.59721
41,52.757805,93.71213
42,56.70957,92.1462
43,71.65756,86.2229
44,50.048443,94.57616
45,52.45387,93.62298
46,55.031105,92.60172
47,69.807274,86.746506
48,71.00999,86.26992
49,49.91632,94.4189
50,52.14993,93.53381
51,55.242615,92.3083
52,69.50334,86.65733
53,70.53423,86.24884
54,48.925117,94.60208
55,65.07582,88.202194
56,68.68395,86.77243
57,48.792995,94.44484
58,62.022827,89.20238
59,63.053722,88.79387
60,65.459145,87.8407
61,68.03638,86.81944
62,47.45816,94.76418
63,50.0354,93.74292
64,51.238113,93.26634
65,62.577965,88.772804
66,64.29613,88.091965
67,67.04517,87.002625
68,47.154224,94.67502
69,49.903275,93.58568
70,50.934174,93.17717
71,61.58676,88.95597
72,63.992184,88.0028
73,66.56943,86.98154
74,46.33484,94.7901
75,60.25193,89.27531
76,64.54733,87.57321
77,77.08989,82.60309
78,59.260723,89.458496
79,64.41521,87.41597
80,46.414227,94.33945
81,59.128605,89.30124
82,64.11127,87.32681
83,46.2821,94.18221
84,48.34389,93.365204
85,63.97914,87.16957
86,45.978165,94.09305
87,48.383587,93.13988
88,64.19065,86.87616
89,45.674225,94.00389
90,64.40217,86.58275
91,45.71392,93.77856
92,64.270035,86.4255
93,65.64457,85.88083
94,64.30973,86.200165
95,77.71137,80.88962
96,56.789524,88.970535
97,64.864876,85.77059
98,78.0947,80.52813
99,56.829216,88.7452
100,65.76365,85.204834
101,64.94426,85.31993
102,78.90104,79.5798
103,78.940735,79.354485
104,55.78528,88.32048
105,54.965893,88.43556
106,44.18118,92.49953
107,54.661953,88.34641
108,81.637054,77.65724
109,44.908142,92.00186
110,80.64585,77.84041
111,45.291462,91.640366
112,43.784813,92.02779
113,81.58432,77.04933
114,53.618015,87.92168
115,43.692383,91.64522
116,42.872997,91.7603
117,53.697403,87.471016
118,53.39346,87.38187
119,43.296017,91.17348
120,42.64845,91.2205
121,82.33793,75.49312
122,52.653465,87.046295
123,83.06489,74.995445
124,43.4151,90.49749
125,83.620026,74.56586
126,42.25208,90.748764
127,83.83154,74.27245
128,42.97904,90.25108
129,42.846912,90.09385
130,41.340263,90.48128
131,42.37116,90.07277
132,84.466064,73.39221
133,42.582664,89.779366
134,51.768295,85.720245
135,52.0195,85.20151
136,52.059193,84.97619
137,52.09889,84.750854
138,84.26817,71.79383
139,84.30786,71.56851
140,52.04615,84.14295
141,51.91403,83.98572
142,52.125538,83.69229
143,84.46663,70.6672
144,52.033108,83.30972
145,51.90099,83.15247
146,52.112495,82.85907
147,51.980373,82.70183
148,51.848248,82.544586
149,85.048416,69.17906
150,84.9163,69.02182
151,51.795513,81.936676
152,51.66339,81.779434
153,40.231113,85.890396
154,43.01986,84.57573
155,42.887737,84.41848
156,52.033672,80.58472
157,42.62349,84.10399
158,39.91413,84.968
159,85.273544,66.99385
160,85.48505,66.70045
161,85.35293,66.5432
162,52.403954,79.389984
