,x,y
0,38.759502,111.961174
1,38.91451,111.69042
2,38.650013,111.415665
3,44.52436,111.33536
4,43.878494,111.057
5,43.080074,110.777176
6,42.24352,110.497
7,41.330685,110.21611
8,40.341583,109.93448
9,39.352478,109.65286
10,38.363373,109.37123
11,43.970764,109.288376
12,43.05793,109.00748
13,42.1451,108.726585
14,41.232273,108.44569
15,40.31944,108.16479
16,39.40661,107.88388
17,38.49378,107.60298
18,44.13931,107.52049
19,43.226475,107.23959
20,42.313644,106.958694
21,41.400818,106.677795
22,40.487984,106.3969
23,39.575153,106.116
24,38.662323,105.83509
25,44.30785,105.75261
26,43.509434,105.47279
27,42.825424,105.19406
28,42.332104,104.917145
29,42.14388,104.643135
30,61.67133,104.69249
31,62.587852,104.56508
32,42.68272,104.10379
33,61.18047,104.14339
34,64.537766,104.039154
35,58.89593,103.71334
36,62.062546,103.60729
37,65.19102,103.50089
38,59.091537,103.17073
39,62.143738,103.063614
40,65.15781,102.95613
41,58.982048,102.625244
42,61.957977,102.51739
43,64.972046,102.409904
44,58.75815,102.07866
45,61.69594,101.97043
46,65.28206,101.86839
47,42.520332,100.97162
48,58.161488,100.57572
49,59.196114,100.0411
50,66.29454,99.56406
51,43.494682,98.66692
52,59.250244,98.27211
53,65.81476,97.790016
54,43.167442,96.89433
55,43.78256,96.35571
56,59.309303,95.95874
57,59.695595,95.41794
58,59.967476,94.87606
59,60.04867,94.33238
60,60.282417,93.79014
61,60.897533,93.251526
62,44.352165,92.4138
63,61.253075,91.89377
64,61.03163,91.07497
65,60.772057,90.25581
66,44.876247,89.28815
67,44.61667,88.46899
68,46.79664,87.80912
69,51.25992,87.71539
70,45.540577,87.52496
71,57.74446,87.64088
72,51.986984,87.45007
73,46.229507,87.259285
74,58.43339,87.3752
75,52.675915,87.18439
76,46.918434,86.99358
77,59.122322,87.109505
78,53.36484,86.91872
79,47.569225,86.72754
80,59.773113,86.84346
81,53.93936,86.65193
82,48.02933,86.45969
83,60.233223,86.57561
84,54.246918,86.38263
85,48.18434,86.188934
86,60.38823,86.304855
87,54.287518,86.110794
88,48.110527,85.916
89,60.314415,86.03191
90,54.061153,85.83641
91,47.769753,85.64053
92,59.973644,85.756454
93,53.60597,85.55985
94,47.16202,85.36253
95,59.365906,85.478455
96,52.921963,85.28113
97,46.401737,85.08307
98,58.60563,85.19899
99,52.047268,85.000595
100,45.679596,84.803986
101,46.064655,84.3993
102,62.54483,84.01138
103,62.66416,83.468056
104,46.38452,82.768974
105,46.427578,82.224915
106,46.394363,81.68015
107,46.43742,81.13609
108,46.404205,80.591324
109,46.485405,80.04764
110,46.490326,79.50322
111,46.380836,78.957726
112,43.639885,78.38723
113,46.961506,78.01044
114,63.936226,77.763336
115,64.13061,77.35684
116,63.71479,76.94454
117,63.413383,76.53334
118,62.959427,76.12068
119,47.36503,75.56421
120,47.139893,75.153725
121,46.914764,74.74324
122,43.676796,74.30415
123,43.222843,73.891495
124,42.92144,73.480286
125,66.26383,73.42978
126,66.07684,73.01965
127,62.152405,72.574036
128,76.07369,72.57015
129,37.36695,71.93027
130,38.16906,71.80177
131,38.170288,71.66567
132,37.40878,71.522316
133,35.88452,71.37173
134,76.76755,71.760056
135,74.251724,71.600044
136,62.849945,71.35563
137,39.66379,70.99928
138,35.698757,70.8255
139,75.47581,71.20332
140,62.815502,70.94696
141,38.48523,70.57974
142,77.766495,70.95285
143,72.08529,70.76277
144,39.364845,70.31587
145,78.18846,70.68463
146,71.591965,70.48586
147,38.413876,70.0346
148,76.741714,70.39866
149,61.831318,70.12092
150,35.823013,69.73777
151,73.76947,70.098206
152,39.98119,69.64115
153,77.77511,70.00014
154,61.91128,69.71333
