,x,y
0,-15.557678,67.3928
1,-11.234497,67.27147
2,-6.9113274,67.15014
3,-2.5881577,67.02881
4,1.7350235,66.90748
5,6.058193,66.78615
6,10.381359,66.66482
7,14.70454,66.54349
8,19.02771,66.422165
9,23.350887,66.30083
10,27.674059,66.179504
11,31.997227,66.058174
12,36.320408,65.936844
13,37.383812,68.32144
14,38.44722,70.70604
15,39.510624,73.09064
16,40.574028,75.47524
17,41.637436,77.85983
18,42.70084,80.24443
19,43.764244,82.629036
20,44.827652,85.01364
21,45.891068,87.398224
22,46.95447,89.78284
23,48.01788,92.167435
24,49.081284,94.552025
25,50.144688,96.93663
26,51.208096,99.32123
27,52.2715,101.70582
28,53.513786,99.256516
29,54.75607,96.807205
30,55.998356,94.357895
31,57.24065,91.9086
32,58.482937,89.45929
33,59.72522,87.00998
34,60.967506,84.56067
35,62.20979,82.11137
36,63.452087,79.66205
37,64.694374,77.21274
38,65.93666,74.76344
39,67.17894,72.31413
40,68.42123,69.86482
41,69.66351,67.41552
42,70.90579,64.9662
43,75.22896,64.84488
44,79.55213,64.72355
45,83.87531,64.60222
46,88.1985,64.48089
47,92.52165,64.35956
48,96.84483,64.23823
49,101.168015,64.1169
50,105.49117,63.995567
51,109.814354,63.87424
52,114.137535,63.75291
53,118.46069,63.63158
54,122.783875,63.510254
55,119.75977,61.87052
56,116.73569,60.23079
57,113.71159,58.59106
58,110.68749,56.951332
59,107.66341,55.3116
60,104.639305,53.671864
61,101.61522,52.032135
62,98.59112,50.392403
63,95.567,48.752674
64,92.54291,47.11294
65,89.518814,45.473213
66,86.49472,43.83348
67,83.47063,42.193752
68,80.44653,40.554016
69,81.611176,38.257793
70,82.77583,35.961567
71,83.940475,33.66534
72,85.10511,31.369112
73,86.26975,29.072891
74,87.43439,26.776665
75,88.59903,24.480436
76,89.76369,22.18421
77,90.92833,19.887983
78,92.09297,17.591763
79,93.257614,15.295536
80,94.42225,12.99931
81,95.58688,10.703083
82,96.75155,8.406857
83,97.91618,6.11063
84,99.080826,3.8144073
85,95.92897,5.6274605
86,92.7771,7.4405212
87,89.62523,9.253582
88,86.473366,11.066639
89,83.3215,12.8797
90,80.16964,14.692753
91,77.017746,16.50582
92,73.86588,18.318876
93,70.71402,20.131937
94,67.56216,21.944994
95,64.4103,23.75805
96,61.258423,25.571108
97,58.10656,27.384172
98,54.954693,29.197231
99,51.9306,27.5575
100,48.906506,25.917765
101,45.882412,24.278036
102,42.858315,22.638304
103,39.83422,20.998575
104,36.81012,19.358843
105,33.786022,17.719114
106,30.76193,16.079378
107,27.737835,14.4396515
108,24.713741,12.799915
109,21.689648,11.160191
110,18.665554,9.520454
111,15.64146,7.880726
112,12.617352,6.2409973
113,13.6143,8.476559
114,14.611244,10.712116
115,15.608196,12.947681
116,16.605133,15.183239
117,17.602077,17.418804
118,18.599026,19.654366
119,19.595966,21.889921
120,20.592903,24.125483
121,21.589859,26.361044
122,22.586796,28.596607
123,23.583735,30.832169
124,24.580685,33.067726
125,25.577627,35.303288
126,26.574566,37.53885
127,27.571518,39.774414
128,28.568457,42.00997
129,25.416592,43.823036
130,22.264725,45.636093
131,19.112862,47.44915
132,15.960983,49.26221
133,12.80912,51.075268
134,9.657253,52.888325
135,6.50539,54.701385
136,3.3535233,56.514442
137,0.20166016,58.327507
138,-2.9502106,60.140564
139,-6.1020737,61.953625
140,-9.253941,63.76668
141,-12.405815,65.57974
