,x,y
0,78.93889,44.25713
1,78.8123,46.689545
2,78.59281,49.11797
3,78.44849,50.327656
4,78.281296,51.53272
5,78.091415,52.731953
6,77.879005,53.924164
7,77.6443,55.10817
8,77.387535,56.282784
9,76.808846,58.59916
10,76.48751,59.73862
11,76.14525,60.864075
12,75.39938,63.068493
13,74.99652,64.14525
14,74.132935,66.24253
15,73.67307,67.26094
16,73.1951,68.257866
17,72.18677,70.18323
18,71.111946,72.01094
19,70.550934,72.885895
20,69.97492,73.73373
21,68.162735,76.106255
22,66.890526,77.53766
23,66.23709,78.20608
24,65.57295,78.84207
25,63.523056,80.54943
26,62.82286,81.04976
27,62.11537,81.514854
28,61.4013,81.94424
29,60.681343,82.33746
30,59.226704,83.01398
31,58.493454,83.29657
32,57.757233,83.541695
33,57.01877,83.74907
34,56.2788,83.91852
35,55.538063,84.04984
36,54.797295,84.14294
37,53.318623,84.214066
38,52.582188,84.19203
39,51.848675,84.13161
40,51.118813,84.03287
41,50.39332,83.895905
42,49.672928,83.72086
43,48.250305,83.25724
44,46.856617,82.643845
45,46.172363,82.28174
46,45.497414,81.88314
47,44.832443,81.44847
48,44.17812,80.97815
49,43.535084,80.47266
50,42.903984,79.932495
51,42.28545,79.35818
52,41.6801,78.750305
53,40.511333,77.436325
54,39.40235,75.9958
55,38.871666,75.229836
56,38.357567,74.43443
57,37.381153,72.75849
58,36.919815,71.87962
59,36.476997,70.97464
60,35.64871,69.08998
61,34.555653,66.09051
62,34.232613,65.04867
63,33.930775,63.98752
64,33.650444,62.908134
65,33.391907,61.81158
66,32.9412,59.571365
67,32.74949,58.429935
68,32.58046,57.275803
69,32.434288,56.11012
70,32.31111,54.93405
71,32.21106,53.74876
72,32.13423,52.555435
73,32.080704,51.355267
74,32.05053,50.149445
75,32.060333,47.725674
76,32.100304,46.51013
77,32.16361,45.29377
78,32.250183,44.0778
79,32.492775,41.65189
80,32.648552,40.444366
81,32.827114,39.242065
82,33.028282,38.046192
83,33.25186,36.857933
84,33.765335,34.509007
85,34.054714,33.35067
86,34.36548,32.204628
87,34.69732,31.07204
88,35.422886,28.851665
89,35.81588,27.766106
90,36.228516,26.698408
91,36.660362,25.649637
92,37.111,24.620846
93,38.06682,22.62726
94,38.57105,21.664457
95,39.092163,20.725597
96,39.62964,19.811634
97,40.751534,18.06195
98,42.543198,15.645973
99,43.167076,14.899498
100,43.803253,14.183716
101,44.451103,13.499332
102,45.779205,12.227478
103,47.14609,11.089008
104,47.84238,10.571228
105,49.25718,9.6411705
106,50.6969,8.854805
107,52.155792,8.215256
108,52.890617,7.9513664
109,53.628056,7.72509
110,54.367363,7.5366554
111,55.848656,7.274025
112,56.589165,7.200096
113,57.32859,7.164524
114,58.066204,7.167362
115,59.53305,7.2881813
116,61.701424,7.7561035
117,63.117336,8.257359
118,64.50293,8.907825
119,65.18261,9.288227
120,65.85265,9.704906
121,66.51238,10.157459
122,68.42318,11.725643
123,69.63374,12.941235
124,70.78799,14.287361
125,71.342545,15.007721
126,72.40378,16.539434
127,73.39766,18.187342
128,74.32023,19.944874
129,74.75362,20.86258
130,75.56241,22.771278
131,76.62479,25.803137
132,77.22839,27.925167
133,77.497856,29.013268
134,77.97078,31.238245
135,78.35417,33.520817
136,78.646484,35.85189
137,78.7581,37.03272
138,78.84656,38.222176
139,78.91174,39.41907
140,78.972084,41.83041
141,78.96718,43.04245
